,Order,Training Percent,AIC,MSE,RMSE
0,1,0.2,-36.29911046665786,0.02642001958406455,0.16254236242919737
1,1,0.4,-37.21451859994303,0.026713530690545165,0.16344274438024212
2,1,0.6,-37.13774266351284,0.025777660908980992,0.16055423043003567
3,1,0.8,-37.23659610153114,0.02412482346972258,0.1553216773979813
4,2,0.2,-36.559411958398144,0.02590241748800515,0.16094227998883684
5,2,0.4,-37.414114357327485,0.028713497464596862,0.1694505752855294
6,2,0.6,-37.35182189437906,0.027941919116491205,0.16715836537993306
7,2,0.8,-37.45639819316884,0.024969266099771893,0.1580166639939342
8,3,0.2,-37.214463867473334,0.02639648754940265,0.16246995891364857
9,3,0.4,-37.78644587725062,0.029508143696405153,0.17177934595406152
10,3,0.6,-37.572598557753146,0.029425546890806467,0.17153876206504018
11,3,0.8,-37.63941413377865,0.025441220482986606,0.1595030422374025
12,4,0.2,-37.12479340196693,0.02600055015250504,0.1612468609074454
13,4,0.4,-37.756304411685434,0.03046962324166293,0.1745555018945634
14,4,0.6,-37.557105782867346,0.030566331111671754,0.1748322942470062
15,4,0.8,-37.66075506412908,0.025523303997649623,0.1597601452104048
16,5,0.2,-36.94486029317567,0.0252257070162063,0.15882602751503389
17,5,0.4,-37.715068616598444,0.030850374786660938,0.17564274760621612
18,5,0.6,-37.54753633761097,0.03051091549783337,0.17467374014955245
19,5,0.8,-37.65314301152118,0.0252245075541788,0.15882225144537776
20,6,0.2,-36.847691473679,0.025608784249812448,0.1600274484262386
21,6,0.4,-37.67973534464341,0.03187724691382296,0.1785420032200349
22,6,0.6,-37.50941469258799,0.033035936060279804,0.18175790508332726
23,6,0.8,-37.62830972825694,0.02552146753755077,0.15975439755309012
24,7,0.2,-36.7440272505777,0.027252271734777827,0.16508262093502704
25,7,0.4,-37.64597247409218,0.03373343456838075,0.18366663978082887
26,7,0.6,-37.49079851031006,0.034670851287975896,0.186201104422009
27,7,0.8,-37.611810069213846,0.025814396726965467,0.16066859284553864
28,8,0.2,-36.6640428264751,0.027499668066023192,0.16583023869615335
29,8,0.4,-37.61669084928572,0.03284457614019889,0.18123072625854283
30,8,0.6,-37.47133644961096,0.03352223887786281,0.18309079408277965
31,8,0.8,-37.60438648224187,0.025190088947083748,0.15871385871146776
32,9,0.2,-36.59592874144595,0.026779010385080397,0.1636429356406209
33,9,0.4,-37.583352169766954,0.03271726456779866,0.18087914354009602
34,9,0.6,-37.46707037993136,0.0334579772020458,0.18291521861793184
35,9,0.8,-37.599001316051705,0.024597343158992802,0.15683540148510094
36,10,0.2,-36.51195232255253,0.028429030425340708,0.16860910540460355
37,10,0.4,-37.53090269206671,0.03313181798984446,0.1820214767269084
38,10,0.6,-37.43703796616571,0.0326656803511392,0.18073649424269356
39,10,0.8,-37.57481423245882,0.024267858260404836,0.15578144388984472
40,11,0.2,-36.34615179134817,0.030752569944373986,0.17536410677323336
41,11,0.4,-37.45278709019663,0.032607377221696175,0.1805751290230639
42,11,0.6,-37.391740000622285,0.03221993523931893,0.17949912322715933
43,11,0.8,-37.542103165575085,0.023989242464468107,0.15488461016017088
44,12,0.2,-36.28106991749175,0.027424452487039175,0.16560329853912686
45,12,0.4,-37.42102140179565,0.0303779281717515,0.17429265094016874
46,12,0.6,-37.36534480019363,0.029698706059972914,0.1723331252544702
47,12,0.8,-37.52466350245068,0.023275914712616655,0.1525644608439877
48,13,0.2,-36.15504289895652,0.025927510959571666,0.16102021910173786
49,13,0.4,-37.361996814803845,0.02996323419405974,0.1730989144797267
50,13,0.6,-37.32168149274719,0.028938974872924704,0.17011459335672735
51,13,0.8,-37.49163295283236,0.022987374074033364,0.1516158767215141
52,14,0.2,-36.04640230827455,0.02508808778020086,0.1583921960836482
53,14,0.4,-37.27304949690426,0.029859982385742487,0.1728004119952915
54,14,0.6,-37.26663164606073,0.02780383376977134,0.16674481632054214
55,14,0.8,-37.461395450611704,0.02218405718161017,0.14894313405326937
56,15,0.2,-36.04730971222814,0.02315299407111723,0.15216107935709852
57,15,0.4,-37.253964646458435,0.02868857908130282,0.16937703233113638
58,15,0.6,-37.254675299863216,0.02663273403555385,0.16319538607311743
59,15,0.8,-37.45082280772858,0.021525342308169194,0.14671517408969392
60,16,0.2,-35.96021149321279,0.02293680819343225,0.15144902836740898
61,16,0.4,-37.18151492544606,0.028309858587167502,0.16825533747007107
62,16,0.6,-37.21190546425189,0.026075557804858974,0.1614792798004096
63,16,0.8,-37.413533118194145,0.020741856057385984,0.14402033209719378
64,17,0.2,-35.89349733076223,0.02363335910238244,0.1537314512465892
65,17,0.4,-37.1146514535154,0.02588137133383634,0.16087688253393134
66,17,0.6,-37.178335809623405,0.024018374624681673,0.15497862634789894
67,17,0.8,-37.41023805157556,0.01963828793202337,0.14013667589900713
68,18,0.2,-35.81412033055165,0.025077726005883497,0.15835948347315199
69,18,0.4,-37.07014181022661,0.02780493488660688,0.1667481180901508
70,18,0.6,-37.139189484309576,0.023085144292002334,0.1519379619844966
71,18,0.8,-37.3827144052875,0.018727770313495345,0.13684944396487458
72,19,0.2,-35.71967724972867,0.027901709122822138,0.16703804693189556
73,19,0.4,-37.048763470046545,0.02897944568179137,0.17023350340573787
74,19,0.6,-37.116998827778886,0.023087292885360978,0.15194503244713523
75,19,0.8,-37.38222067225424,0.017719809447159625,0.13311577459925486
76,20,0.2,-35.71743683929385,0.0247115618565548,0.1571991153173414
77,20,0.4,-36.99426549224008,0.028185699865760933,0.16788597280821568
78,20,0.6,-37.0839536640471,0.019943978422525866,0.1412231511563379
79,20,0.8,-37.34775579059019,0.017343965379178167,0.1316964896235969
