,Order,AIC,MSE,RMSE
0,1,-36.971991957911214,0.025759008663328323,0.16046525365936412
1,2,-37.19543660081838,0.026881775042216276,0.16389197116205836
2,3,-37.55323060906394,0.02769284965490022,0.1663227772925382
3,4,-37.5247396651622,0.02813995212587234,0.16759870056485496
4,5,-37.46515206472657,0.02795287621371985,0.16699119167904505
5,6,-37.41628780979183,0.029010858690366494,0.17002043857067273
6,7,-37.37315207604844,0.030367738579524985,0.1739047394958509
7,8,-37.33911415190341,0.02976414300779216,0.1722164044372359
8,9,-37.31133815179899,0.029387898828479413,0.17106817482093745
9,10,-37.26367680331094,0.029623596756682302,0.17178713006601257
10,11,-37.18319551193554,0.0298922812174643,0.17258074229590686
11,12,-37.14802490548293,0.02769425035784506,0.16619838389443836
12,13,-37.08258853983498,0.02695427352514737,0.1639624009149265
13,14,-37.01186972546281,0.026233990279331217,0.16172013961318782
14,15,-37.00169311656959,0.024999912374035774,0.15786216796276156
15,16,-36.941791250276225,0.024516020160711176,0.15630099443377088
16,17,-36.89918066136915,0.023292848248230955,0.15243090900685666
17,18,-36.851541507593836,0.023673893874497014,0.15347375187816847
18,19,-36.816915054952084,0.024422064284283528,0.15558308934600587
19,20,-36.7858529465428,0.02254630138100494,0.149501182226373
